species_id	taxon_name
GenesByTaxon	Anopheles darlingi
GenesByTaxon__1	Anopheles dirus
GenesByTaxon__10	Anopheles melas
GenesByTaxon__11	Anopheles merus
GenesByTaxon__12	Anopheles minimus
GenesByTaxon__13	Anopheles moucheti
GenesByTaxon__14	Anopheles nili
GenesByTaxon__15	Anopheles quadriannulatus
GenesByTaxon__16	Anopheles sinensis
GenesByTaxon__17	Anopheles stephensi
GenesByTaxon__18	Anopheles ziemanni
GenesByTaxon__2	Anopheles epiroticus
GenesByTaxon__3	Anopheles farauti
GenesByTaxon__4	Anopheles funestus
GenesByTaxon__5	Anopheles funestus
GenesByTaxon__6	Anopheles gambiae
GenesByTaxon__7	Anopheles maculatus
GenesByTaxon__8	Anopheles maculipalpis
GenesByTaxon__9	Anopheles marshallii
GenesByTaxon_2	Culex quinquefasciatus
a_albimanus	Anopheles albimanus
a_aquasalis	Anopheles aquasalis
a_arbiensis	Anopheles arabiensis
a_atroparvus	Anopheles atroparvus
a_bellator	Anopheles bellator
a_chrystai	Anopheles christyi
a_colluzzi	Anopheles coluzzii
a_coustani	Anopheles coustani
a_cruzii	Anopheles cruzii
a_culicifacies	Anopheles culicifacies
